INDEX,area_2000,area_r,area_frac,coast_length,coast_r,coast_area_f,dryland_loss,max_dryland_loss,DEM,land_value,wetland_loss_SLR,wetland_loss_coastalsqueeze,exposed_wetland,W_1990,coast_protection_cost
SGP,687,3673579,0.000187011086463637,193,103140,0.00984958314823405,0.289717862221421,676.466873526057,0.812,1908853,0.093729215690761,7.3679249830607e-06,0.533126473943061,0.551759735187472,1.67147426025532
THA,510890,3673579,0.139071461373228,3219,103140,0.00147507584780108,32.2658000578215,510820.625848604,0.812,1908853,10.4385974336066,0.000820563815160193,59.3741513964074,61.4493326680331,0.250320371371842
VNM,310070,3673579,0.08440542588032,3444,103140,0.00195848054418095,26.0003799782978,310012.155207854,0.812,1908853,8.41161537069848,0.000661225537639657,47.8447921461459,49.5170116940704,0.332354148347508
BHS,10010,98148,0.101988833190692,3542,8810,0.021153004334782,3.24684219702599,9987.90578248736,0.667,206778,3.29646171232938,0.364595568968367,12.094217512643,13.5304651699507,0.338448069356512
BRB,431,98148,0.00439132738313567,97,8810,0.0168698822301877,0.111492169560484,420.584700928534,0.667,206778,0.113196036603601,0.0125197187081208,0.415299071465829,0.46461787343473,0.269918115683003
COM,1862,98148,0.0189713493907161,340,8810,0.0151954805469093,0.433859549775943,1850.38390921193,0.667,206778,0.440489961500094,0.0487191122339764,1.61609078806906,1.80800949681846,0.243127688750548
DOM,48320,98148,0.492317724253169,1288,8810,0.00580576278758721,4.3017112843237,48293.9764827509,0.667,206778,4.36745172255588,0.483049307010435,16.0235172491154,17.9263885251457,0.0928922046013954
FJI,18274,98148,0.186188205567103,1129,8810,0.00883883403634098,2.4767584060403,18254.7742806483,0.667,206778,2.51460919895653,0.278121043601867,9.22571935166905,10.3213187810626,0.141421344581456
JAM,10831,98148,0.110353751477361,1022,8810,0.0109233535058511,1.8141767223165,10814.2423423885,0.667,206778,1.84190168219243,0.203718183436205,6.75765761149919,7.56016260227327,0.174773656093618
MDV,298,98148,0.00303623099808453,644,8810,0.0522756715184128,0.238875126536383,287.110209993779,0.667,206778,0.242525709865511,0.0268238514183713,0.889790006221239,0.995456934287904,0.836410744294604
MUS,2030,98148,0.0206830500876228,177,8810,0.0105003417219592,0.326854536127518,2018.78249400031,0.667,206778,0.331849655284284,0.0367032668475419,1.21750599968828,1.36209080957635,0.168005467551347
STP,964,98148,0.00982190161796471,209,8810,0.0165576784678554,0.244754972844418,953.088308054641,0.667,206778,0.248495414289881,0.0274841132297055,0.911691945359342,1.01995983613771,0.264922855485687
TTO,5128,98148,0.0522476260341525,362,8810,0.00944811336752476,0.74293044840184,5115.23264578489,0.667,206778,0.754284202762798,0.0834254124783461,2.76735421511011,3.09599110329552,0.151169813880396
BEN,110622,17285931,0.00639953960246631,121,21760,0.00631916111872614,5.11974966358416,110608.254594283,0.799,1395419,1.12612493390174,0.0139517040326104,3.74540571706746,9.54770671129326,0.532705282308613
BWA,566730,17285931,0.032785622018276,0,21760,0,0,566720,0.799,1395419,0,0,0,0,0
BFA,273800,17285931,0.0158394708390309,0,21760,0,0,273790,0.799,1395419,0,0,0,0,0
BDI,25680,17285931,0.00148560120944599,0,21760,0,0,25670,0.799,1395419,0,0,0,0,0
CMR,472710,17285931,0.0273465166556548,402,21760,0.00557189762324525,19.2905988245446,472685.887763295,0.799,1395419,4.24310283776791,0.0525683369493995,14.1122367050508,35.9746065656326,0.469710969639575
CIV,318003,17285931,0.0183966371264585,797,21760,0.0095653540309584,22.2781978827501,317976.702154363,0.799,1395419,4.90024625551684,0.0607097697473089,16.2978456367725,41.5461132706525,0.806359344809793
